===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 1 | -1< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-61 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-61 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 1< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-62 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 1< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-62 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-63 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-63 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-64 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-64 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-65 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-65 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-66 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-66 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-67 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-67 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-68 | -127 ]
[ 128 | 0 | 4 | -1 | 1 | 0< | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-68 | -127 ]
[ 128 | 0 | 4 | -1 | 1< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-69 | -127 ]
[ 128 | 0 | 4 | -1 | 1< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-69 | -127 ]
